10775.9	13254.5	15430.9	19520.6	13385.3	14877.6	14286.4	17926	13694.1	17605.8	13906.7	17850.2	15996.5	18879.2	10569.4	12642.4	20439	23434.2	11539.6	13536.2	13321.5	17255.2	13594.2	17560	12997.8	16375.3	
11473.4	14521.4	16490.9	17055.1	12751.7	15939.8	15152.3	18546.2	13329.1	15767.1	14671.7	18210.1	16095.3	19489.7	12179.5	13929.6	18515.7	23183.1	11272.8	12557.9	13622.3	18186	12502.6	16994	13261.6	16526.8	
13027.4	18662.4	14870.7	19478.1	13058.4	15434.1	15129.1	18125.3	13287	15890.8	16188.3	18265.8	16230.5	18972.9	12961.7	14817.1	19345.8	21927.3	13166.3	15848.1	14559.8	17842.1	13362.1	17008.3	13724.1	22091.2	
13406.6	18822.5	15136	18842.6	13903.7	15596.5	14118	17179.1	12150.6	16183.2	16580.6	18124.3	16868.5	18636.3	12851.4	15620.5	20632.6	21574.5	12976.1	15996.2	14146.1	17206	12255.6	16394.4	18082.6	20985.5	
14616.8	19142.9	15146.4	19952	12525.5	15720.2	14685.1	17602.2	13086.9	16404.1	17078.4	18562.7	16611.7	19341.7	12871.1	14866.2	22092.5	22226.9	13388.2	15778.1	15601.9	17721.7	12189.1	15479.4	16208.7	18583.2	
12270.5	17823.5	15376.9	20437.5	13694.8	16039.4	14120.8	18180.4	14032.7	16053.1	17292.2	18767.6	16380.2	18095.5	12634.2	14604.1	19724.1	21483	13387.4	15769.7	15409.8	18022.4	11775.5	15460.3	13730.8	18215.6	
13405.2	17995.7	14975.8	20436.6	12902.6	15477.1	13574.4	19416.9	12781.2	14833.7	15042.5	18690.3	16986.9	18445.7	13033.8	15598.5	18229.3	22769.9	12977.4	15386.9	13830.4	17746	11894.5	15774.5	15704.5	18695.3	
13907.4	17077.1	15394.2	20632	13894.1	15546.7	13495.1	18062.8	14419.2	14993.4	15806.4	17752.3	15743.2	17778.9	11796.2	16493.3	16017.9	21195	11417.7	14044.3	13764	17770.1	12917.7	15215.5	15763.5	18010.2	
13797.2	17952.4	13963.6	20496.5	14242.2	15114.1	13093.1	17131.7	12273.8	14977.5	15915.6	17277.8	15915.4	18553.8	13712.5	15496.9	16763	21444.4	13501.1	16110.3	13599.3	17915.1	13318.8	16271.9	14395.6	17669.8	
12496.9	17498.3	13829.7	21065.2	14805.8	16526.8	14527.9	18389.2	13631.6	15807.2	15467.6	17214.4	16446.6	19260.1	12688.7	15101.9	16003.7	22461.6	12514.3	15477.9	15542	17857.2	11896.9	16466.9	13375.6	16279.1	
